,movieId,all features
407,44653,Crime Drama    
408,45030,Crime Drama   RobertTannen 
409,48127,Drama    
410,48308,Drama   FrancineProse 
411,49668,Action Comedy Drama Romance    
412,50610,Comedy   FrankSebastiano 
413,50754,Drama    
414,51086,Drama Mystery Thriller   FernleyPhillips 
415,51455,Documentary Drama   TommyWalker 
416,56350,Drama Romance War    
417,56490,Documentary   TomMarksbury 
418,57754,Drama   AbderrahmaneSissako 
419,59832,Crime Drama Film-Noir    
420,66289,Crime Film-Noir Horror Romance Thriller   NikosNikolaidis 
421,71106,Comedy Sci-Fi   JamieMathieson 
422,71571,Horror Thriller   JoshStolberg 
423,73900,Comedy Drama Musical Romance   SiddharthAnand 
424,74681,Comedy    
425,75341,Drama Romance   WillFetters 
426,76156,Drama   NobuhiroSuwa 
427,76187,Drama    
428,76293,Action Comedy Romance   JoshKlausner 
429,78000,Drama   KyzzaTerrazas 
430,78776,Drama   ClaudiaAllen 
431,79163,Drama Romance   DerekSieg 
432,79207,Crime Drama Mystery Thriller    
433,82049,Adventure Crime Drama Horror Thriller    
434,82115,Drama   BentHamer 
435,82465,Comedy Drama Horror Sci-Fi    
436,83613,Action Sci-Fi Thriller Western IMAX   RobertoOrci 
437,84479,Drama Thriller    
438,89900,Drama   ErcanKesal 
439,90873,Action Crime Drama Thriller    
440,91653,Comedy Drama   AlineBroshMcKenna 
441,91755,Documentary   EugeneJarecki 
442,91919,Animation Children Comedy Fantasy Musical    
443,94788,Drama    
444,94967,Crime Drama Thriller   DonFerrarone 
445,95896,Thriller   RandallCole 
446,97828,Drama    
447,100942,Romance Western   LarryFerguson 
448,101088,Drama Mystery Thriller   WentworthMiller 
449,101505,Comedy Romance   AlexisLloyd 
450,103851,Comedy    
451,104224,Documentary   JasonScottSadofsky 
452,104610,Horror Sci-Fi Thriller   HansBauer 
453,104829,Comedy Drama   AlonsoMayo 
454,107002,Documentary   AaronStrongoni 
455,110505,Action Fantasy Mystery Sci-Fi Thriller   ChristopherFolino 
456,110871,Drama   KimMordaunt 
457,111680,Comedy Romance   GlennGerman 
458,113829,Comedy Drama Romance   JustinLader 
459,116905,Adventure Animation Drama Fantasy Sci-Fi   YasuhiroYoshiura 
460,117666,Comedy Musical Romance    
461,118340,(nogenreslisted)   JoaquindelaPuente 
462,122878,Action Comedy   SantiagoSegura 
463,123553,Action Adventure Drama Fantasy   JoelRoss 
464,125599,Documentary    
465,126036,Animation Children   EliseAllen 
466,128556,Comedy    
467,130580,Drama   NedBenson 
468,65,Comedy   AdamLeff 
469,458,Drama Western   JohnMilius 
470,879,Horror Thriller   DouglasPreston 
471,1223,Adventure Animation Children Comedy Sci-Fi   NickPark 
472,1977,Horror    
473,2096,Animation Children Musical    
474,2249,Comedy   NoraEphron 
475,2392,Children Comedy Drama   MarkStevenJohnson 
476,2622,Comedy Fantasy   WilliamShakespeare 
477,2655,Horror    
478,2656,Horror Sci-Fi    
479,2833,Romance War   ClaudeBerri 
480,2924,Action Comedy    
481,3377,Drama War    
482,3425,Drama Musical   SpikeLee 
483,3561,Drama    
484,3566,Comedy Drama   RogerRueff 
485,3834,Adventure Drama Romance    
486,3913,Documentary   StevenPage 
487,4000,Adventure Drama    
488,4294,Children Fantasy Musical    
489,4307,Comedy Romance   AmosKollek 
490,4383,Crime Drama Mystery Thriller   Jean-ChristopheGrangé 
491,4957,Crime Thriller    
492,5157,Drama Fantasy Horror    
493,5217,Action Comedy Sci-Fi    
494,5433,Adventure Drama Horror Mystery Thriller    
495,5513,Comedy Documentary   MartinLawrence 
496,5682,Drama   MiklosNyiszli 
497,5695,Fantasy Horror Mystery    
498,5697,Horror    
499,5740,Documentary Horror   JohnAlanSchwartz 
500,5907,Drama    
501,6154,Comedy Romance   JamesIverMattson 
502,6301,Drama Thriller    
503,6500,Horror    
504,6934,Action Adventure Sci-Fi Thriller IMAX   LillyWachowski 
505,6962,Documentary   ThorntonWilder 
506,7152,Drama Thriller   RonaldHarwood 
507,7324,Adventure Drama   JohnFusco 
508,7333,Crime Drama Thriller    
509,8501,Action Thriller    
510,8577,Documentary   OliverStone 
511,8665,Action Crime Thriller   RobertLudlum 
512,8678,Action Adventure Drama Western    
513,8716,War Western    
514,25742,Fantasy    
515,26219,Comedy    
516,26490,Action Comedy Romance    
517,26589,Action Comedy Romance    
518,26965,Drama Thriller   JimSheridan 
519,27803,Drama   AlejandroAmenábar 
520,32296,Adventure Comedy Crime   MarcLawrence 
521,35331,Crime Drama Mystery Thriller    
522,36533,Drama Horror Mystery Thriller   JeffWadlow 
523,42172,Comedy   HarryEnfield 
524,43007,Comedy Crime   JuliuszMachulski 
525,46974,Drama   AndreaBerloff 
526,51127,Documentary   MatthewGalkin 
527,52712,Crime Drama Fantasy Mystery Thriller   MickDavis 
528,53382,Romance Thriller    
529,59157,Horror Sci-Fi    
530,59547,Drama   AnnieDeYoung 
531,60243,Comedy Western    
532,60702,Drama Sci-Fi Thriller   RandallM.Badat 
533,64645,Action Adventure Comedy Crime Drama Thriller    
534,65037,Drama   NicBalthazar 
535,65243,Mystery Thriller   Jukka-PekkaSiili 
536,65288,Drama Romance    
537,67135,Drama Film-Noir    
538,67667,Crime Drama Film-Noir    
539,68392,Comedy   DanielWaters 
540,69626,Drama    
541,69714,Action Comedy Musical   SabirKhan 
542,71808,Action Drama    
543,72681,Drama War    
544,74266,Drama    
545,75808,Action Crime Drama Thriller   AlexDeRakoff 
546,76751,Crime Documentary   KevinBooth 
547,76862,Drama   PeterElkoff 
548,79830,Drama War   JeanCosmos 
549,80122,Drama    
550,80361,Comedy Drama   NealH.Dobrofsky 
551,80984,Crime Drama Film-Noir    
552,81132,Action Adventure Comedy Crime Drama Film-Noir Horror Mystery Thriller Western   QuentinDupieux 
553,82753,Drama   KrzysztofZanussi 
554,83186,Horror Western    
555,83842,Adventure Drama Romance   AleksandrGonorovskiy 
556,84281,Documentary   VernonP.Becker 
557,86973,Drama War   FlorianGallenberger 
558,87796,Drama   ZabouBreitman 
559,88597,Drama   DanieleLuchetti 
560,89112,Comedy    
561,89349,Drama    
562,92511,Sci-Fi   JenniferIwen 
563,94202,Drama    
564,96098,Comedy   BenoîtDelépine 
565,96704,Drama   Jan-ChristophGlaser 
566,98922,Action Drama   MathieuKassovitz 
567,101142,Adventure Animation Comedy   ChrisSanders 
568,102286,Comedy Drama   MattK.Turner 
569,103506,Action Comedy Crime   JeremyBoxen 
570,103541,Comedy Drama   StuartBlumberg 
571,103883,Action Comedy Crime   BlakeMasters 
572,104137,Comedy Drama   DavidGordonGreen 
573,104226,Comedy Musical Romance   WendyJoCarlton 
574,104241,Action Comedy Crime   JeffWadlow 
575,104459,Comedy    
576,105484,Comedy Crime Mystery   AdrianFinkelstein 
577,105815,Horror Thriller   ChrisPeckover 
578,107397,Comedy    
579,107758,Comedy   JuneDianeRaphael 
580,108932,Action Adventure Animation Children Comedy Fantasy   PhilLord 
581,110281,Comedy Drama Romance   Lik-ChiLee 
582,113214,Documentary   MarkMonroe 
583,115534,Horror   JulietSnowden 
584,116989,Crime Documentary   BarneyBroomfield 
585,120438,Animation Children Comedy   KyungHoLee 
586,121324,Animation Children    
587,123314,Drama Horror Thriller   JesseBaget 
588,126219,Documentary Drama    
589,128167,Action Comedy   RodneyCarrington 
590,128830,Drama   RaminBahrani 
591,130050,Drama Fantasy Horror Mystery Thriller   AdamGreen 
592,53,Adventure Drama   GianniAmelio 
593,255,Comedy   JamesMelkonian 
594,481,Drama Thriller   StephenLevy 
595,588,Adventure Animation Children Comedy Musical   JohnMusker 
596,799,Comedy Horror Thriller   FranWalsh 
597,804,Comedy Romance   EdwardBurns 
598,898,Comedy Drama Romance    
599,970,Adventure Comedy Crime Drama Romance    
600,1157,Drama    
601,2027,Comedy Crime   JimAbrahams 
602,2156,Comedy Drama Romance   PupiAvati 
603,2247,Comedy    
604,2559,Animation Children   OscarHammersteinII 
605,2802,Action Drama Romance Thriller    
606,2914,Comedy Drama   RichardChristie 
607,3028,Comedy    
608,3042,Comedy    
609,3105,Drama Mystery    
610,3631,Comedy   KelliHerd 
611,3790,Drama   GregHarrison 
612,4092,Romance Sci-Fi    
613,4357,Comedy Drama Romance    
614,4477,Adventure Children Comedy    
615,5110,Comedy Crime Mystery   JayChandrasekhar 
616,5527,Drama Romance   A.S.Byatt 
617,5847,Drama    
618,5995,Drama War   RonaldHarwood 
619,6176,Action Drama    
620,6396,Horror Thriller    
621,6552,Crime Drama Thriller   StevenKnight 
622,6722,Action Romance   HarkTsui 
623,6832,Drama   J.J.Abrams 
624,6864,Documentary Musical   DavidLeland 
625,6866,Comedy Crime   LabKyMo 
626,6890,Drama   GusVanSant 
627,6937,Musical Romance   RobertCary 
628,7109,Drama Romance   MichelangeloAntonioni 
629,7404,Drama    
630,7567,Comedy Drama   AmberBenson 
631,7584,Comedy Romance    
632,7892,Action    
633,7987,Horror    
634,8701,Comedy Horror   DavidPrice 
635,25812,Adventure Comedy    
636,25864,Drama    
637,25904,Drama Film-Noir Thriller    
638,25908,Adventure Drama War    
639,25923,Drama    
640,25948,Crime Western    
641,26119,Drama    
642,26470,Comedy    
643,26484,Drama    
644,26729,Documentary   ApocalypseNow 
645,26746,Action Crime Drama Thriller   R.LanceHill 
646,27657,Action Sci-Fi Thriller   J.S.Cardone 
647,27822,Drama Thriller   ChrisKentis 
648,30745,Comedy Crime Drama Horror Mystery   SakichiSato 
649,31309,Crime Drama    
650,32199,Comedy Drama   TomasAlfredson 
651,34416,Documentary Musical    
652,42550,Comedy    
653,42661,Drama War    
654,43177,Crime Drama    
655,43675,Comedy Crime    
656,45891,Crime Drama Film-Noir Mystery Romance    
657,47250,Crime Thriller   MickRossi 
658,47455,Action Comedy Sci-Fi   Siu-TungChing 
659,48530,Drama   ErikPoppe 
660,48872,Film-Noir Thriller   GélaBabluani 
661,48997,Crime Drama Thriller   AndrewBirkin 
662,53839,Documentary Musical   AndrewHorn 
663,55726,Drama   ClaudioGalperin 
664,57530,Drama   AnnmarieMorais 
665,59641,Drama Romance Thriller War    
666,61493,Action   Kam-YuenSzeto 
667,63033,Drama Mystery Romance Thriller   JoséSaramago 
668,65764,Drama   IraLewis 
669,66057,Comedy Drama Romance   PaulShapiro 
670,66246,Comedy    
671,67734,Comedy Drama   GregMottola 
672,68265,Drama   MariaSpeth 
673,70293,Comedy Drama Romance   NoraEphron 
674,70342,Drama War   MarcAbdelnour 
675,70932,Comedy   MikeReiss 
676,71007,Action Drama Sci-Fi   MarlaSokoloff 
677,71867,Drama   ChristopheDirickx 
678,71902,Drama Romance   JasonHall 
679,72694,Drama   ThomasMoffett 
680,73064,Drama    
681,73086,Film-Noir Thriller    
682,75386,Drama Horror Thriller   FabriceduWelz 
683,78677,Comedy Drama Romance   FernandoColomo 
684,79402,Comedy Drama   NickMoran 
685,79575,Drama   JerryA.Vasilatos 
686,84471,Drama Mystery   DjuangjaiHirunsri 
687,86574,Documentary Musical   JamesMoll 
688,86785,Drama Romance Thriller   RonniKern 
689,89596,Documentary Musical   WimWenders 
690,92427,Comedy   AnikaDecker 
691,92852,Children Comedy Musical   SinikkaNopola 
692,96212,Documentary   JamieJohnson 
693,96801,Crime Thriller   RichardDooling 
694,97832,Drama   CurtisHanson 
695,99028,Comedy Romance   MarcEsposito 
696,99222,Horror   JaysonRothwell 
697,101400,Drama War    
698,103269,Drama   BrentMcCorkle 
699,103663,Crime Drama Mystery    
700,103755,Adventure Animation Children Comedy Fantasy   DarrenLemke 
701,104033,Documentary   LizGarbus 
702,105533,Mystery Romance Thriller    
703,107278,Horror    
704,108016,Drama Thriller War   AmitGupta 
705,109418,Drama    
706,109492,Documentary   ClaudeLanzmann 
707,110090,Action    
708,110127,Adventure Drama IMAX   DarrenAronofsky 
709,112183,Comedy Drama   AlejandroG.Iñárritu 
710,113020,Comedy    
711,114138,Comedy    
712,114652,Documentary   ChrisMarker 
713,116887,Action Adventure Drama   AdamCooper 
714,117885,Adventure Children Comedy   TimHill 
715,118202,Adventure Comedy Documentary Mystery   KeeganKuhn 
716,119430,Drama   RobertCelestino 
717,120610,Comedy   JimBreuer 
718,122575,Drama   SamElliott 
